Name,Scientific_Name,Family,Toxicity_Dog,Toxicity_Cat,Toxicity_Horse
mexican rosettes,echevaria,crassulaceae,non-toxic,non-toxic,non-toxic
mexican snowballs,echevaria,crassulaceae,non-toxic,non-toxic,non-toxic
mexican firecracker,echeveria pulinata,crassulaceae,non-toxic,non-toxic,non-toxic
maroon chenille plant,echeveria derenbergii,crassulaceae,non-toxic,non-toxic,unknown
blue echeveria,echeveria derenbergii,crassulaceae,non-toxic,non-toxic,unknown
painted lady,echeveria derenbergii,crassulaceae,non-toxic,non-toxic,unknown
copper rose,echeveria derenbergii,crassulaceae,non-toxic,non-toxic,unknown
wax rosette,echeveria derenbergii,crassulaceae,non-toxic,non-toxic,unknown
plush plant,echeveria derenbergii,crassulaceae,non-toxic,non-toxic,unknown
chickens and hens,echeveria elegans,crassulaceae,non-toxic,non-toxic,non-toxic
hens and chickens,echeveria elegans,crassulaceae,non-toxic,non-toxic,non-toxic
mother hens and chicks,echeveria elegans,crassulaceae,non-toxic,non-toxic,non-toxic
urbinia agavoides,echeveria elegans,crassulaceae,non-toxic,non-toxic,non-toxic
wax rosette,echeveria gilva,crassulaceae,non-toxic,non-toxic,non-toxic
maroon chenille plant,echeveria gilva,crassulaceae,non-toxic,non-toxic,non-toxic
painted lady,echeveria gilva,crassulaceae,non-toxic,non-toxic,non-toxic
copper rose,echeveria gilva,crassulaceae,non-toxic,non-toxic,non-toxic
blue echeveria,echeveria gilva,crassulaceae,non-toxic,non-toxic,non-toxic
plush plant,echeveria gilva,crassulaceae,non-toxic,non-toxic,non-toxic
blue echeveria,echeveria glauca,crassulaceae,non-toxic,non-toxic,non-toxic
maroon chenille plant,echeveria glauca,crassulaceae,non-toxic,non-toxic,non-toxic
painted lady,echeveria glauca,crassulaceae,non-toxic,non-toxic,non-toxic
copper rose,echeveria glauca,crassulaceae,non-toxic,non-toxic,non-toxic
wax rosette,echeveria glauca,crassulaceae,non-toxic,non-toxic,non-toxic
plush plant,echeveria glauca,crassulaceae,non-toxic,non-toxic,non-toxic
copper rose,echeveria multicaulis,crassulaceae,non-toxic,non-toxic,non-toxic
maroon,echeveria multicaulis,crassulaceae,non-toxic,non-toxic,non-toxic
painted lady,echeveria multicaulis,crassulaceae,non-toxic,non-toxic,non-toxic
plush plant,echeveria pul oliver,crassulaceae,non-toxic,non-toxic,non-toxic
variegated wax plant,echeveria sp.,,non-toxic,non-toxic,unknown
globe thistle,echinops spp.,asteraceae,non-toxic,non-toxic,non-toxic
easter lily cactus,echinopsis multiplex,cactaceae,non-toxic,non-toxic,non-toxic
patterson's curse,echium plantagineum,boraginaceae,unknown,unknown,toxic
viper's bugloss,echium plantagineum,boraginaceae,unknown,unknown,toxic
viper's bugloss,echium vulgare,boraginaceae,unknown,unknown,toxic
water hyacinth,eichhornia crassipes,pontederiaceae,non-toxic,non-toxic,non-toxic
autumn olive,eleagnus spp.,elaeagnaceae,non-toxic,non-toxic,non-toxic
silver berry,eleagnus spp.,elaeagnaceae,non-toxic,non-toxic,non-toxic
russian olive,eleagnus spp.,elaeagnaceae,non-toxic,non-toxic,non-toxic
florida butterfly orchid,encyclia tampensis,orchidaceae,non-toxic,non-toxic,non-toxic
butterfly orchid,encyclia tampensis,orchidaceae,non-toxic,non-toxic,non-toxic
spice orchid,epidendrum atropurpeum,orchidaceae,non-toxic,non-toxic,unknown
fiery reed orchid,epidendrum ibaguense,orchidaceae,non-toxic,non-toxic,non-toxic
spice orchid,epidendrum ibaguense,orchidaceae,non-toxic,non-toxic,non-toxic
rainbow orchid,epidendrum prismatocarpum,orchidaceae,non-toxic,non-toxic,non-toxic
florida butterfly orchid,epidendrum tampense,orchidaceae,non-toxic,non-toxic,non-toxic
scarlet orchid,epidendrum tampense,orchidaceae,non-toxic,non-toxic,non-toxic
blooming sally,epilobium angustifolium,onagraceae,non-toxic,non-toxic,non-toxic
willow herb,epilobium angustifolium,onagraceae,non-toxic,non-toxic,non-toxic
great willow herb,epilobium angustifolium,onagraceae,non-toxic,non-toxic,non-toxic
fire weed,epilobium angustifolium,onagraceae,non-toxic,non-toxic,non-toxic
devils ivy,epipremnum aureum,araceae,toxic,toxic,toxic
pothos,epipremnum aureum,araceae,toxic,toxic,toxic
golden pothos,epipremnum aureum,araceae,toxic,toxic,toxic
taro vine,epipremnum aureum,araceae,toxic,toxic,toxic
ivy arum,epipremnum aureum,araceae,toxic,toxic,toxic
devil's ivy,epipremnum aureum,araceae,toxic,toxic,toxic
devil's vine,epipremnum aureum,araceae,toxic,toxic,toxic
pink brocade,episcia cultivar,gesneriaceae,non-toxic,non-toxic,non-toxic
chocolate soldier,episcia dianthiflora,gesneriaceae,non-toxic,non-toxic,non-toxic
lace flower vine,episcia dianthiflora,gesneriaceae,non-toxic,non-toxic,non-toxic
episcia,episcia dianthiflora,gesneriaceae,non-toxic,non-toxic,non-toxic
cyrtudeira,episcia reptans,gesneriaceae,non-toxic,non-toxic,non-toxic
flame african violet,episcia reptans,gesneriaceae,non-toxic,non-toxic,non-toxic
frosty,episcia reptans,gesneriaceae,non-toxic,non-toxic,non-toxic
flame,episcia reptans,gesneriaceae,non-toxic,non-toxic,non-toxic
moss agate,episcia reptans,gesneriaceae,non-toxic,non-toxic,non-toxic
lady lou,episcia reptans,gesneriaceae,non-toxic,non-toxic,non-toxic
red african violet,episcia reptans,gesneriaceae,non-toxic,non-toxic,non-toxic
acajou,episcia reptans,gesneriaceae,non-toxic,non-toxic,non-toxic
flame violet,episcia reptans,gesneriaceae,non-toxic,non-toxic,non-toxic
red violet,episcia reptans,gesneriaceae,non-toxic,non-toxic,non-toxic
field horsetail,equisetum arvense,equisetaceae,unknown,unknown,toxic
scouring rush,equisetum arvense,equisetaceae,unknown,unknown,toxic
common horsetail,equisetum arvense,equisetaceae,unknown,unknown,toxic
western horsetail,equisetum arvense,equisetaceae,unknown,unknown,toxic
fleabane,erigeron speciosus,asteraceae,toxic,toxic,toxic
showy daisy,erigeron speciosus,asteraceae,toxic,toxic,toxic
horseweed,erigeron speciosus,asteraceae,toxic,toxic,toxic
seaside daisy,erigeron speciosus,asteraceae,toxic,toxic,toxic
desert trumpet,eriogonium inflatum,polygonaceae,non-toxic,non-toxic,non-toxic
sulfur flower,eriogonium umbellatum,polygonaceae,non-toxic,non-toxic,non-toxic
umbrella plant,eriogonium umbellatum,polygonaceae,non-toxic,non-toxic,non-toxic
wild buckweat,eriogonium umbellatum,polygonaceae,non-toxic,non-toxic,non-toxic
wild buckwheat,eriogonium umbellatum,polygonaceae,non-toxic,non-toxic,non-toxic
wormseed mustard,erysimum cheiranthoides,brassicaceae,unknown,unknown,toxic
eucalyptus,eucalyptus species,myrtaceae,toxic,toxic,toxic
many cultivars,eucalyptus species,myrtaceae,toxic,toxic,toxic
burning bush,euonymus atropurpurea,celastraceae,toxic,toxic,toxic
wahoo,euonymus atropurpurea,celastraceae,toxic,toxic,toxic
spindle tree,euonymus atropurpurea,celastraceae,toxic,toxic,toxic
wahoo,euonymus occidentalis,celastraceae,toxic,toxic,toxic
burning bush,euonymus occidentalis,celastraceae,toxic,toxic,toxic
spindle tree,euonymus occidentalis,celastraceae,toxic,toxic,toxic
poinsettia,euphorbia pulcherrima,euphorbiaceae,toxic,toxic,toxic
pencil cactus,euphorbia tirucalli,euphorbiaceae,toxic,toxic,toxic
sticks of fire,euphorbia tirucalli,euphorbiaceae,toxic,toxic,toxic
arabian gentian,exacum affine,gentianaceae,non-toxic,non-toxic,non-toxic
persian violet,exacum affine,gentianaceae,non-toxic,non-toxic,non-toxic
german violet,exacum affine,gentianaceae,non-toxic,non-toxic,non-toxic
buckwheat,fagopyrum spp.,polygonaceae,toxic,toxic,toxic
figleaf palm,fatsia japonica,araliaceae,non-toxic,non-toxic,non-toxic
formosa rice tree,fatsia japonica,araliaceae,non-toxic,non-toxic,non-toxic
glossy leaved paper plant,fatsia japonica,araliaceae,non-toxic,non-toxic,non-toxic
big leaf paper plant,fatsia japonica,araliaceae,non-toxic,non-toxic,non-toxic
japanese aralia,fatsia japonica,araliaceae,non-toxic,non-toxic,non-toxic
blue daisy,felicia amelloides,compositae,non-toxic,non-toxic,non-toxic
felicia,felicia amelloides,compositae,non-toxic,non-toxic,non-toxic
blue marguerite,felicia amelloides,compositae,non-toxic,non-toxic,non-toxic
fig,ficus benjamina,moraceae,toxic,toxic,toxic
weeping fig,ficus benjamina,moraceae,toxic,toxic,toxic
indian rubber plant,ficus benjamina,moraceae,toxic,toxic,toxic
weeping fig,ficus sp.,moraceae,toxic,toxic,toxic
fig,ficus sp.,moraceae,toxic,toxic,toxic
indian rubber plant,ficus sp.,moraceae,toxic,toxic,toxic
nerve plant,fittonia verschaffeltii,acanthaceae,non-toxic,non-toxic,non-toxic
jewel plant,fittonia verschaffeltii,acanthaceae,non-toxic,non-toxic,non-toxic
silver nerve,fittonia verschaffeltii,acanthaceae,non-toxic,non-toxic,non-toxic
mosaic plant,fittonia verschaffeltii,acanthaceae,non-toxic,non-toxic,non-toxic
silver threads,fittonia verschaffeltii,acanthaceae,non-toxic,non-toxic,non-toxic
fennel,foeniculum vulgare,umbelliferae,non-toxic,non-toxic,non-toxic
florence fennel,foeniculum vulgare,umbelliferae,non-toxic,non-toxic,non-toxic
finocchio,foeniculum vulgare,umbelliferae,non-toxic,non-toxic,non-toxic
wild strawberry,fragaria,rosaceae,non-toxic,non-toxic,non-toxic
strawberry,fragaria,rosaceae,non-toxic,non-toxic,non-toxic
strawberry,fragaria spp.,rosaceae,non-toxic,non-toxic,non-toxic
wild strawberry,fragaria spp.,rosaceae,non-toxic,non-toxic,non-toxic
purple baby tears,frithia pulchra,aizoaceae,non-toxic,non-toxic,non-toxic
fairy elephant's feet,frithia pulchra,aizoaceae,non-toxic,non-toxic,non-toxic
honeysuckle fuchsia,fuchsia triphylla,onagraceae,non-toxic,non-toxic,non-toxic
ladies ear drops,fuschsia spp.,onagraceae,non-toxic,non-toxic,non-toxic
summer hyacinth,galtonia spp.,hyacinthaeae,non-toxic,non-toxic,non-toxic
cape jasmine,gardenia jasminoides,rubiaceae,toxic,toxic,toxic
gardenia,gardenia jasminoides,rubiaceae,toxic,toxic,toxic
african daisy,gerbera jamesonii,compositae,non-toxic,non-toxic,non-toxic
barberton daisy,gerbera jamesonii,compositae,non-toxic,non-toxic,non-toxic
veldt daisy,gerbera jamesonii,compositae,non-toxic,non-toxic,non-toxic
transvaal daisy,gerbera jamesonii,compositae,non-toxic,non-toxic,non-toxic
gerber daisy,gerbera jamesonii,compositae,non-toxic,non-toxic,non-toxic
gerbera daisy,gerbera jamesonii,compositae,non-toxic,non-toxic,non-toxic
hawaiian ti,giant dracaena,agavaceae,toxic,toxic,unknown
snake plant,giant dracaena,agavaceae,toxic,toxic,unknown
giant dracaena,giant dracaena,agavaceae,toxic,toxic,unknown
gladiola,gladiolus species,iridaceae,toxic,toxic,toxic
many cultivars,gladiolus species,iridaceae,toxic,toxic,toxic
honey locust,gleditsia triacanthos,fabaceae,non-toxic,non-toxic,non-toxic
climbing lily,gloriosa superba,liliaceae,toxic,toxic,toxic
gloriosa lily,gloriosa superba,liliaceae,toxic,toxic,toxic
glory lily,gloriosa superba,liliaceae,toxic,toxic,toxic
superb lily,gloriosa superba,liliaceae,toxic,toxic,toxic
canterbury bell,gloxinia perennis,gesneriaceae,non-toxic,non-toxic,non-toxic
orange star,guzmania lingulata minor,bromeliaceae,non-toxic,non-toxic,non-toxic
mosaic vase,guzmania musaica,bromeliaceae,non-toxic,non-toxic,non-toxic
purple passion vine,gynura aurantica,asteraceae,non-toxic,non-toxic,non-toxic
velvet plant,gynura aurantica,asteraceae,non-toxic,non-toxic,non-toxic
royal velvet plant,gynura aurantica,asteraceae,non-toxic,non-toxic,non-toxic
purple velvet plant,gynura aurantica,asteraceae,non-toxic,non-toxic,non-toxic
maidens breath,gypsophila elegans,caryophyllaceae,toxic,toxic,toxic
baby's breath,gypsophila elegans,caryophyllaceae,toxic,toxic,toxic
maidens breath,gypsophila elegans,caryophyllaceae,toxic,toxic,non-toxic
baby's breath,gypsophila elegans,caryophyllaceae,toxic,toxic,non-toxic
maidens breath,gypsophila elegans,caryophyllaceae,toxic,non-toxic,toxic
baby's breath,gypsophila elegans,caryophyllaceae,toxic,non-toxic,toxic
maidens breath,gypsophila elegans,caryophyllaceae,toxic,non-toxic,non-toxic
baby's breath,gypsophila elegans,caryophyllaceae,toxic,non-toxic,non-toxic
baby’s breath,gypsophila elegans,caryophyllaceae,non-toxic,toxic,toxic
maidens breath,gypsophila elegans,caryophyllaceae,non-toxic,toxic,toxic
baby’s breath,gypsophila elegans,caryophyllaceae,non-toxic,toxic,non-toxic
maidens breath,gypsophila elegans,caryophyllaceae,non-toxic,toxic,non-toxic
baby’s breath,gypsophila elegans,caryophyllaceae,non-toxic,non-toxic,toxic
maidens breath,gypsophila elegans,caryophyllaceae,non-toxic,non-toxic,toxic
baby’s breath,gypsophila elegans,caryophyllaceae,non-toxic,non-toxic,non-toxic
maidens breath,gypsophila elegans,caryophyllaceae,non-toxic,non-toxic,non-toxic
golden lace orchid,haemaria discolor,orchidaceae,non-toxic,non-toxic,non-toxic
jewel orchid,haemaria discolor,orchidaceae,non-toxic,non-toxic,non-toxic
tiger orchid,haemaria discolor,orchidaceae,non-toxic,non-toxic,non-toxic
silver bell,halesia carolina,styrnaceae,non-toxic,non-toxic,non-toxic
opossum wood,halesia carolina,styrnaceae,non-toxic,non-toxic,non-toxic
snowbell tree,halesia carolina,styrnaceae,non-toxic,non-toxic,non-toxic
shittimwood,halesia carolina,styrnaceae,non-toxic,non-toxic,non-toxic
jimmy weed,haplopappus heterophyllus,asteraceae,unknown,unknown,toxic
burrow weed,haplopappus heterophyllus,asteraceae,unknown,unknown,toxic
rayless goldenrod,haplopappus heterophyllus,asteraceae,unknown,unknown,toxic
zebra haworthia,haworthia fasciata,liliaceae,non-toxic,non-toxic,non-toxic
pearl plant,haworthia margaritifera,liliaceae,non-toxic,non-toxic,non-toxic
pearly dots,haworthia margaritifera,liliaceae,non-toxic,non-toxic,non-toxic
haworthia,haworthia species,liliaceae,non-toxic,non-toxic,unknown
many cultivars,haworthia species,liliaceae,non-toxic,non-toxic,unknown
little zebra plant,haworthia subfasciata,aloaceae,non-toxic,non-toxic,non-toxic
branching ivy,hedera helix,araliaceae,toxic,toxic,toxic
english ivy,hedera helix,araliaceae,toxic,toxic,toxic
glacier ivy,hedera helix,araliaceae,toxic,toxic,toxic
needlepoint ivy,hedera helix,araliaceae,toxic,toxic,toxic
sweetheart ivy,hedera helix,araliaceae,toxic,toxic,toxic
california ivy,hedera helix,araliaceae,toxic,toxic,toxic
hahn's self branching english ivy,hedera helix,araliaceae,toxic,toxic,toxic
butterfly ginger,hedychium coronarium,zingiberaceae,non-toxic,non-toxic,non-toxic
white ginger,hedychium coronarium,zingiberaceae,non-toxic,non-toxic,non-toxic
cinnamon jasmine,hedychium coronarium,zingiberaceae,non-toxic,non-toxic,non-toxic
garland flower,hedychium coronarium,zingiberaceae,non-toxic,non-toxic,non-toxic
ginger lily,hedychium coronarium,zingiberaceae,non-toxic,non-toxic,non-toxic
white ginger,hedychium coronarium,,non-toxic,non-toxic,non-toxic
butterfly ginger,hedychium coronarium,,non-toxic,non-toxic,non-toxic
cinnamon jasmine,hedychium coronarium,,non-toxic,non-toxic,non-toxic
garland flower,hedychium coronarium,,non-toxic,non-toxic,non-toxic
ginger lily,hedychium coronarium,,non-toxic,non-toxic,non-toxic
kahali ginger,hedychium gardnerianum,zingiberaceae,non-toxic,non-toxic,non-toxic
heliotrope,heliotropium spp.,boraginaceae,unknown,unknown,toxic
christmas rose,helleborus niger,ranunculaceae,toxic,toxic,toxic
hellebore,helleborus niger,ranunculaceae,toxic,toxic,toxic
lenten rose,helleborus niger,ranunculaceae,toxic,toxic,toxic
easter rose,helleborus niger,ranunculaceae,toxic,toxic,toxic
orange day lily,hemerocallis graminea,liliaceae,non-toxic,toxic,non-toxic
day lilies,hemerocallis spp.,xanthorrhoeaceae,non-toxic,toxic,unknown
many varieties,hemerocallis spp.,xanthorrhoeaceae,non-toxic,toxic,unknown
purple waffle plant,hemigraphis exotica,acanthaceae,non-toxic,non-toxic,non-toxic
waffle plant,hemigraphis exotica,acanthaceae,non-toxic,non-toxic,non-toxic
cow parsnip,heracleum maximum,apiaceae,toxic,toxic,toxic
giant hogweed,heracleum maximum,apiaceae,toxic,toxic,toxic
alumroot,heuchera sanguinea,saxifragaceae,non-toxic,non-toxic,non-toxic
coral bells,heuchera sanguinea,saxifragaceae,non-toxic,non-toxic,non-toxic
heuchera,heuchera sanguinea,saxifragaceae,non-toxic,non-toxic,non-toxic
hibiscus,hibiscus syriacus,malvaceae,non-toxic,non-toxic,non-toxic
rose of sharon,hibiscus syriacus,malvaceae,non-toxic,non-toxic,non-toxic
rose of china,hibiscus syriacus,malvaceae,non-toxic,non-toxic,non-toxic
barbados lily,hippeastrum spp.,amaryllidaceae,toxic,toxic,toxic
amaryllis,hippeastrum spp.,amaryllidaceae,toxic,toxic,toxic
fire lily,hippeastrum spp.,amaryllidaceae,toxic,toxic,toxic
lily of the palace,hippeastrum spp.,amaryllidaceae,toxic,toxic,toxic
ridderstjerne,hippeastrum spp.,amaryllidaceae,toxic,toxic,toxic
blue dicks 2,hookera pulchella,amaryllidaceae,non-toxic,non-toxic,non-toxic
wild hyacinth,hookera pulchella,amaryllidaceae,non-toxic,non-toxic,non-toxic
plantain lily,hosta plantaginea,liliaceae,toxic,toxic,toxic
hosta,hosta plantaginea,liliaceae,toxic,toxic,toxic
hosta,hosta plataginea,liliaceae,toxic,toxic,toxic
plantain lily,hosta plataginea,liliaceae,toxic,toxic,toxic
funkia,hosta plataginea,liliaceae,toxic,toxic,toxic
belmore sentry palm,howea belmoreana,palmae,non-toxic,non-toxic,non-toxic
curly palm,howea belmoreana,palmae,non-toxic,non-toxic,non-toxic
forster sentry palm,howea forsteriana,palmea,non-toxic,non-toxic,non-toxic
kentia palm,howea forsteriana,palmea,non-toxic,non-toxic,non-toxic
kentia palm,howea forsteriana,howea forsteriana,non-toxic,non-toxic,non-toxic
forster senty palm,howea forsteriana,howea forsteriana,non-toxic,non-toxic,non-toxic
paradise palm,howea forsteriana,howea forsteriana,non-toxic,non-toxic,non-toxic
honey plant,hoya carnosa,asclepiadaceae,non-toxic,non-toxic,non-toxic
wax plant,hoya carnosa,asclepiadaceae,non-toxic,non-toxic,non-toxic
hindu rope plant,hoya carnosa 'krinkle kurl',asclepiadaceae,non-toxic,non-toxic,unknown
porcelain flower,hoya carnosa 'krinkle kurl',asclepiadaceae,non-toxic,non-toxic,unknown
wax plant,hoya carnosa 'krinkle kurl',asclepiadaceae,non-toxic,non-toxic,unknown
sweetheart hoya,hoya kerrii,asclepiadaceae,non-toxic,non-toxic,non-toxic
wax hearts,hoya kerrii,asclepiadaceae,non-toxic,non-toxic,non-toxic
valentine hoya,hoya kerrii,asclepiadaceae,non-toxic,non-toxic,non-toxic
silver pink vine,hoya publcalyx,asclepiadaceae,non-toxic,non-toxic,non-toxic
hops,humulus lupulus,cannabidaceae,toxic,unknown,unknown
garden hyacinth,hyacinthus orientalis,liliaceae,toxic,toxic,toxic
hyacinth,hyacinthus orientalis,liliaceae,toxic,toxic,toxic
hills of snow,hydrangea arborescens,hydrangeaceae,toxic,toxic,toxic
hydrangea,hydrangea arborescens,hydrangeaceae,toxic,toxic,toxic
hortensia,hydrangea arborescens,hydrangeaceae,toxic,toxic,toxic
seven bark,hydrangea arborescens,hydrangeaceae,toxic,toxic,toxic
night blooming cereus,hylocereus undatus,cactaceae,non-toxic,non-toxic,non-toxic
queen of the night,hylocereus undatus,cactaceae,non-toxic,non-toxic,non-toxic
pitaya,hylocereus undatus,cactaceae,non-toxic,non-toxic,non-toxic
honolulu queen,hylocereus undatus,cactaceae,non-toxic,non-toxic,non-toxic
klamath weed,hypericum perforatum,clusiaceae,toxic,toxic,toxic
st. john's wort,hypericum perforatum,clusiaceae,toxic,toxic,toxic
st. john’s wort,hypericum perforatum,clusiaceae,toxic,toxic,toxic
catsear,hypochaeris radicata,asteraceae,unknown,unknown,toxic
flatweed,hypochaeris radicata,asteraceae,unknown,unknown,toxic
cat's ear,hypochaeris radicata,asteraceae,unknown,unknown,toxic
false dandelion,hypochaeris radicata,asteraceae,unknown,unknown,toxic
candycorn plant,hypocyrta nummularia,gesneriaceae,non-toxic,non-toxic,non-toxic
gold fish plant,hypocyrta nummularia,gesneriaceae,non-toxic,non-toxic,non-toxic
candy corn plant,hypocyrta nummularia,gesneriaceae,non-toxic,non-toxic,non-toxic
hypocyrta,hypocyrta nummularia,gesneriaceae,non-toxic,non-toxic,non-toxic
goldfish plant,hypocyrta nummularia,gesneriaceae,non-toxic,non-toxic,non-toxic
nematanthus spp.,hypocyrta nummularia,gesneriaceae,non-toxic,non-toxic,non-toxic
baby’s tears,hypoestes phyllostachya,acanthaceae,non-toxic,non-toxic,non-toxic
polka dot plant,hypoestes phyllostachya,acanthaceae,non-toxic,non-toxic,non-toxic
measles plant,hypoestes phyllostachya,acanthaceae,non-toxic,non-toxic,non-toxic
flamingo plant,hypoestes phyllostachya,acanthaceae,non-toxic,non-toxic,non-toxic
freckle face,hypoestes phyllostachya,acanthaceae,non-toxic,non-toxic,non-toxic
pink splash,hypoestes phyllostachya,acanthaceae,non-toxic,non-toxic,non-toxic
pink polka dot plant,hypoestes phyllostachya,acanthaceae,non-toxic,non-toxic,non-toxic
english holly,ilex aquifolium,aquifoliaceae,toxic,toxic,toxic
european holly,ilex aquifolium,aquifoliaceae,toxic,toxic,toxic
oregon holly,ilex aquifolium,aquifoliaceae,toxic,toxic,toxic
inkberry,ilex aquifolium,aquifoliaceae,toxic,toxic,toxic
winterberry,ilex aquifolium,aquifoliaceae,toxic,toxic,toxic
american holly,ilex aquifolium,aquifoliaceae,toxic,toxic,toxic
american holly,ilex opaca,aquifoliaceae,toxic,toxic,toxic
english holly,ilex opaca,aquifoliaceae,toxic,toxic,toxic
european holly,ilex opaca,aquifoliaceae,toxic,toxic,toxic
oregon holly,ilex opaca,aquifoliaceae,toxic,toxic,toxic
inkberry,ilex opaca,aquifoliaceae,toxic,toxic,toxic
winterberry,ilex opaca,aquifoliaceae,toxic,toxic,toxic
holly,ilex opaca,aquifoliaceae,toxic,toxic,toxic
buzzy lizzie,impatiens spp.,balsaminaceae,non-toxic,non-toxic,non-toxic
giant touch me not,impatiens spp.,balsaminaceae,non-toxic,non-toxic,non-toxic
impatience plant,impatiens spp.,balsaminaceae,non-toxic,non-toxic,non-toxic
patient lucy,impatiens spp.,balsaminaceae,non-toxic,non-toxic,non-toxic
patient plant,impatiens spp.,balsaminaceae,non-toxic,non-toxic,non-toxic
tangerine impatience,impatiens spp.,balsaminaceae,non-toxic,non-toxic,non-toxic
buzzy lizzy,impatiens spp.,balsaminaceae,non-toxic,non-toxic,non-toxic
lady slipper,impatiens spp.,balsaminaceae,non-toxic,non-toxic,non-toxic
hardy gloxinia,incarvillea delavayi,bignoniaceae,non-toxic,non-toxic,unknown
sweet potato vine,ipomoea batatas,convolvulaceae,non-toxic,non-toxic,non-toxic
sweet potato,ipomoea batatas,convolvulaceae,non-toxic,non-toxic,non-toxic
morning glory,ipomoea spp,convolvulaceae,toxic,toxic,toxic
bloodleaf,iresine herbstii,amaranthaceae,non-toxic,non-toxic,non-toxic
chicken gizzard,iresine herbstii,amaranthaceae,non-toxic,non-toxic,non-toxic
yellow bloodleaf,iresine herbstii,amaranthaceae,non-toxic,non-toxic,non-toxic
joseph's coat,iresine herbstii,amaranthaceae,non-toxic,non-toxic,non-toxic
bloodleaf plant,iresine herbstii,amaranthaceae,non-toxic,non-toxic,non-toxic
flag,iris species,iridaceae,toxic,toxic,toxic
iris,iris species,iridaceae,toxic,toxic,toxic
snake lily,iris species,iridaceae,toxic,toxic,toxic
water flag,iris species,iridaceae,toxic,toxic,toxic
snake lilly,iris species,iridaceae,toxic,toxic,toxic
butterfly iris,iris spuria,iridaceae,toxic,toxic,toxic
spuria iris,iris spuria,iridaceae,toxic,toxic,toxic
flame of the woods,ixora coccinea,rubiaceae,non-toxic,non-toxic,non-toxic
maui sunset,ixora coccinea,rubiaceae,non-toxic,non-toxic,non-toxic
iron tree,ixora coccinea,rubiaceae,non-toxic,non-toxic,non-toxic
jungle geranium,ixora javanica,rubiaceae,non-toxic,non-toxic,non-toxic
caroba,jacaranda procera,bignoniaceae,non-toxic,non-toxic,non-toxic
caaroba,jacaranda procera,bignoniaceae,non-toxic,non-toxic,non-toxic
carob tree,jacaranda procera,bignoniaceae,non-toxic,non-toxic,non-toxic
carobhina,jacaranda procera,bignoniaceae,non-toxic,non-toxic,non-toxic
bignonia,jacaranda procera,bignoniaceae,non-toxic,non-toxic,non-toxic
jasmine,jasminum species,oleaceae,non-toxic,non-toxic,non-toxic
black walnut,juglans nigra,juglandaceae,toxic,non-toxic,toxic
peacock plant,kaempferia,zingiberaceae,non-toxic,non-toxic,non-toxic
peacock ginger,kaempferia,zingiberaceae,non-toxic,non-toxic,non-toxic
kaempferia,kaempferia,zingiberaceae,non-toxic,non-toxic,non-toxic
resurrection lily,kaempferia,zingiberaceae,non-toxic,non-toxic,non-toxic
kaempferia,kaempferia spp.,zingiberaceae,non-toxic,non-toxic,non-toxic
peacock ginger,kaempferia spp.,zingiberaceae,non-toxic,non-toxic,non-toxic
kalanchoe,kalanchoe spp,crassulaceae,toxic,toxic,unknown
mother in law plant,kalanchoe spp,crassulaceae,toxic,toxic,unknown
devils backbone,kalanchoe spp,crassulaceae,toxic,toxic,unknown
chandelier plant,kalanchoe spp,crassulaceae,toxic,toxic,unknown
mother of millions,kalanchoe spp,crassulaceae,toxic,toxic,unknown
chandelier plant,kalanchoe tubiflora,crassulaceae,toxic,toxic,toxic
mother in law plant,kalanchoe tubiflora,crassulaceae,toxic,toxic,toxic
kalanchoe,kalanchoe tubiflora,crassulaceae,toxic,toxic,toxic
devils backbone,kalanchoe tubiflora,crassulaceae,toxic,toxic,toxic
mother of millions,kalanchoe tubiflora,crassulaceae,toxic,toxic,toxic
devil's backbone,kalanchoe tubiflora,crassulaceae,toxic,toxic,toxic
lambkill,kalmia augustifolia,ericaceae,toxic,toxic,toxic
sheep laurel,kalmia augustifolia,ericaceae,toxic,toxic,toxic
laurel,kalmia latifolia,ericaceae,toxic,toxic,toxic
mountain laurel,kalmia latifolia,ericaceae,toxic,toxic,toxic
spoonwood,kalmia latifolia,ericaceae,toxic,toxic,toxic
mountain ivy,kalmia latifolia,ericaceae,toxic,toxic,toxic
calico bush,kalmia latifolia,ericaceae,toxic,toxic,toxic
ivy bush,kalmia latifolia,ericaceae,toxic,toxic,toxic
pale laurel,kalmia polifolia,,unknown,unknown,toxic
bog laurel,kalmia poliifolia,ericaceae,toxic,toxic,toxic
pale laurel,kalmia poliifolia,ericaceae,toxic,toxic,toxic
bog kalmia,kalmia poliifolia,ericaceae,toxic,toxic,toxic
torch lily,kniphofia,asphodelaceae,non-toxic,non-toxic,non-toxic
red hot poker,kniphofia,asphodelaceae,non-toxic,non-toxic,non-toxic
poker plant,kniphofia,asphodelaceae,non-toxic,non-toxic,non-toxic
tree gloxinia,kohleria lindeniana,gesneriaciae,non-toxic,non-toxic,non-toxic
leopard lily,lachenalia lilacina,hyacinthaceae,non-toxic,non-toxic,non-toxic
crape myrtle,lagerstroemia indica,lythraceae,non-toxic,non-toxic,non-toxic
crepe myrtle,lagerstroemia indica,lythraceae,non-toxic,non-toxic,non-toxic
lagerstroemia indica,lagerstroemia indica,lythraceae,non-toxic,non-toxic,non-toxic
